"File","Illuminate","DB","Eloquent","Http","Total"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\QueryHandlers\BuscarEppHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\QueryHandlers\ListarCategoriasEppHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\QueryHandlers\ListarEppActivosHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\QueryHandlers\ObtenerEppDelPedidoHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\QueryHandlers\ObtenerEppPorCategoriaHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\QueryHandlers\ObtenerEppPorIdHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\Repositories\EppRepositoryInterface.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\Repositories\PedidoEppRepository.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\Repositories\PedidoEppRepositoryInterface.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Operario\Entities\Operario.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Operario\Repositories\OperarioRepository.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Ordenes\Entities\Orden.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Ordenes\Entities\Prenda.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Ordenes\Repositories\OrdenRepositoryInterface.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Ordenes\Services\ObtenerOrdenService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Agregado\PedidoAggregate.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\CommandHandlers\ActualizarPedidoHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\CommandHandlers\ActualizarVariantePrendaHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\CommandHandlers\AgregarPrendaAlPedidoHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\CommandHandlers\CambiarEstadoPedidoHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\CommandHandlers\CrearPedidoHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\CommandHandlers\EliminarPedidoHandler.php","1","0","0","0","1"
